代码,名称,分类,组内序号
510300,沪深300ETF华泰柏瑞,宽基,1
510310,沪深300ETF易方达,宽基,2
510050,上证50ETF华夏,宽基,3
510500,中证500ETF南方,宽基,4
512100,中证1000ETF南方,宽基,5
159531,中证2000ETF南方,宽基,6
159915,创业板ETF易方达,宽基,7
588000,科创50ETF华夏,宽基,8
511090,30年国债ETF鹏扬,宽基,9
513980,港股科技50ETF景顺,宽基,10
518880,黄金ETF华安,宽基,11
159561,德国ETF嘉实,宽基,12
520830,沙特ETF华泰柏瑞,宽基,13
159941,纳指ETF广发,宽基,14
511380,可转债ETF博时,宽基,15
513520,日经ETF,宽基,16
512890,中证红利低波动ETF华泰柏瑞,风格,1
515180,红利ETF易方达,风格,2
159201,自由现金流ETF华夏,风格,3
159259,成长100ETF易方达,风格,4
159906,深成长40ETF大成,风格,5
159263,价值100ETF易方达,风格,6
159545,港股通高股息低波动ETF易方达,风格,7
163415,兴全商业模式LOF,风格,8
161903,万家行业优选LOF,风格,9
512070,证券保险ETF易方达,行业,1
159611,电力ETF广发,行业,2
512690,酒ETF鹏华,行业,3
513970,恒生消费ETF景顺,行业,4
515220,煤炭ETF国泰,行业,5
159825,农业ETF富国,行业,6
512400,有色金属ETF南方,行业,7
159870,化工ETF鹏华,行业,8
516160,新能源ETF南方,行业,9
512170,医疗ETF华宝,行业,10
159869,游戏ETF华夏,行业,11
588200,科创芯片ETF嘉实,行业,12
159586,计算机ETF南方,行业,13
562500,机器人ETF华夏,行业,14
513310,中韩半导体ETF,行业,15
159227,航空航天ETF华夏,行业,16
159518,标普油气ETF嘉实,行业,17
159985,豆粕ETF华夏,行业,18
159792,港股通互联网ETF富国,行业,19
513780,港股创新药ETF景顺,行业,20
517520,黄金股ETF永赢,行业,21
